"month","Count"
2014-12-01,21856
2015-01-01,30090
2015-02-01,31240
2015-03-01,34136
2015-04-01,33556
2015-05-01,35938
2015-06-01,36190
2015-07-01,36139
2015-08-01,37787
2015-09-01,42118
2015-10-01,45874
2015-11-01,46729
2015-12-01,39269
2016-01-01,43661
2016-02-01,46347
2016-03-01,48075
2016-04-01,55471
2016-05-01,59837
2016-06-01,58134
2016-07-01,55178
2016-08-01,71912
2016-09-01,103765
2016-10-01,124910
2016-11-01,129280
2016-12-01,111416
2017-01-01,157975
2017-02-01,168623
2017-03-01,202731
2017-04-01,163245
2017-05-01,204207
2017-06-01,197923
2017-07-01,200123
2017-08-01,219962
2017-09-01,229918
2017-10-01,257926
2017-11-01,250051
2017-12-01,193586
2018-01-01,241681
2018-02-01,249349
2018-03-01,271566
2018-04-01,275587
2018-05-01,293077
2018-06-01,253647
2018-07-01,255861
2018-08-01,288964
2018-09-01,281596
2018-10-01,318318
2018-11-01,300761
2018-12-01,276899
2019-01-01,392263
2019-02-01,377696
2019-03-01,407236
2019-04-01,350943
2019-05-01,399625
2019-06-01,364007
2019-07-01,365010
2019-08-01,385083
2019-09-01,372782
2019-10-01,409565
2019-11-01,365872
2019-12-01,307533
2020-01-01,349857
2020-02-01,356440
2020-03-01,287692
2020-04-01,124812
2020-05-01,154771
2020-06-01,189641
2020-07-01,210402
2020-08-01,222647
2020-09-01,220325
2020-10-01,237185
2020-11-01,213634
2020-12-01,206613
2021-01-01,190865
2021-02-01,196745
2021-03-01,240819
2021-04-01,233022
2021-05-01,260643
2021-06-01,263724
2021-07-01,259040
2021-08-01,263776
2021-09-01,259501
2021-10-01,302464
2021-11-01,307414
2021-12-01,285676
2022-01-01,276934
2022-02-01,298657
2022-03-01,358657
2022-04-01,311739
2022-05-01,353517
2022-06-01,333326
2022-07-01,317014
2022-08-01,343136
2022-09-01,354301
2022-10-01,369007
2022-11-01,361776
2022-12-01,306582
2023-01-01,362072
2023-02-01,348101
2023-03-01,395035
2023-04-01,325345
2023-05-01,300150
2023-06-01,336063
2023-07-01,330406
2023-08-01,352601
2023-09-01,361795
2023-10-01,380249
2023-11-01,236236
2023-12-01,308769
2024-01-01,374415
